date,run_id,sign,language,status,video_id,error
2026-04-19,local,Aries,Telugu,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Taurus,Telugu,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Gemini,Telugu,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Cancer,Telugu,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Aries,Hindi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Taurus,Hindi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Gemini,Hindi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Cancer,Hindi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Aries,Tamil,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Taurus,Tamil,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Gemini,Tamil,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Cancer,Tamil,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Aries,Kannada,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Taurus,Kannada,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Gemini,Kannada,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Cancer,Kannada,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Aries,Bengali,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Taurus,Bengali,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Gemini,Bengali,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Cancer,Bengali,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Aries,Marathi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Taurus,Marathi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Gemini,Marathi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Cancer,Marathi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Leo,Telugu,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Virgo,Hindi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Libra,Tamil,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Scorpio,Kannada,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Leo,Bengali,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Virgo,Marathi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Libra,Telugu,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Scorpio,Hindi,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
2026-04-19,local,Leo,Tamil,FAILED,,400 Client Error: Bad Request for url: https://api.sarvam.ai/text-to-speech
